status,repository,pr,title,severity,lens,owner,path_group,first_seen_at,last_seen_at,cleared_at,seen_count,reopened_count,archetype,merge_readiness,message
open,local/review-os,42,"Add auth middleware and update dashboard UI",warning,PathPolicy,security,src/auth,2026-03-12T14:03:07.298Z,2026-03-12T14:48:05.503Z,,2,1,feature,64,"Rule 'auth_paths' matched 2 file(s); penalties applied (eng:5, product:0, design:0, sec:8)."
open,local/review-os,42,"Add auth middleware and update dashboard UI",critical,PathPolicy,security,src/auth,2026-03-12T14:03:07.298Z,2026-03-12T14:48:05.503Z,,2,1,feature,64,"Rule 'auth_paths': Auth path changes require test updates in the same PR."
open,local/review-os,42,"Add auth middleware and update dashboard UI",warning,PathPolicy,security,src/auth,2026-03-12T14:03:07.298Z,2026-03-12T14:48:05.503Z,,2,1,feature,64,"Rule 'workflow_paths' matched 1 file(s); penalties applied (eng:4, product:0, design:0, sec:6)."
cleared,local/review-os,42,"Add auth middleware and update dashboard UI",warning,Regression,unassigned,root,2026-03-12T14:03:07.298Z,2026-03-12T14:48:05.422Z,2026-03-12T14:48:05.422Z,1,0,feature,64,"Regression signature '8922f4ab5c588df9' has appeared 5 times (including this run)."
open,local/review-os,100,"Author exemption case",warning,Engineering,unassigned,src/auth,2026-03-12T14:03:07.453Z,2026-03-12T14:48:05.619Z,,2,0,chore,82,"No test file changes detected."
open,local/review-os,100,"Author exemption case",warning,Design,unassigned,src/auth,2026-03-12T14:03:07.453Z,2026-03-12T14:48:05.619Z,,2,0,chore,82,"Frontend changes detected without UI evidence (screenshots/UX notes)."
open,local/review-os,100,"Author exemption case",warning,Security,unassigned,src/auth,2026-03-12T14:03:07.453Z,2026-03-12T14:48:05.619Z,,2,0,chore,82,"Sensitive domain changes detected (1 file(s))."
open,local/review-os,100,"Author exemption case",critical,Security,unassigned,src/auth,2026-03-12T14:03:07.453Z,2026-03-12T14:48:05.619Z,,2,0,chore,82,"Sensitive changes detected without test updates."
cleared,local/review-os,100,"Author exemption case",warning,Regression,unassigned,root,2026-03-12T14:03:07.453Z,2026-03-12T14:48:05.619Z,2026-03-12T14:48:05.619Z,1,0,chore,82,"Regression signature '0bf06f63919f58be' has appeared 5 times (including this run)."
open,local/review-os,100,"Author exemption case",warning,PolicyDrift,unassigned,root,2026-03-12T14:03:07.453Z,2026-03-12T14:48:05.619Z,,2,0,chore,82,"Adaptive thresholds drifted beyond ±8 on: product_warning(+15), security_warning(-15)."
cleared,local/review-os,101,"Missing required team case",warning,Engineering,unassigned,.github/workflows,2026-03-12T14:03:07.577Z,2026-03-12T14:48:05.930Z,2026-03-12T14:48:05.930Z,2,1,infra,84,"No test file changes detected."
cleared,local/review-os,101,"Missing required team case",warning,Security,unassigned,.github/workflows,2026-03-12T14:03:07.577Z,2026-03-12T14:48:05.930Z,2026-03-12T14:48:05.930Z,2,1,infra,84,"Sensitive domain changes detected (1 file(s))."
cleared,local/review-os,101,"Missing required team case",critical,Security,unassigned,.github/workflows,2026-03-12T14:03:07.577Z,2026-03-12T14:48:05.930Z,2026-03-12T14:48:05.930Z,2,1,infra,84,"Sensitive changes detected without test updates."
cleared,local/review-os,101,"Missing required team case",critical,ReviewerPolicy,unassigned,.github/workflows,2026-03-12T14:03:07.577Z,2026-03-12T14:48:05.930Z,2026-03-12T14:48:05.930Z,2,1,infra,84,"Missing required reviewer coverage. Users: none; Teams: acme/security."
cleared,local/review-os,101,"Missing required team case",warning,Regression,unassigned,root,2026-03-12T14:03:07.577Z,2026-03-12T14:48:05.930Z,2026-03-12T14:48:05.930Z,2,1,infra,84,"Regression signature '697c67c0fe89f0a0' has appeared 4 times (including this run)."
cleared,local/review-os,101,"Missing required team case",warning,PolicyDrift,unassigned,root,2026-03-12T14:03:07.577Z,2026-03-12T14:48:06.043Z,2026-03-12T14:48:06.043Z,4,1,chore,77,"Adaptive thresholds drifted beyond ±8 on: product_warning(+15), security_warning(-15)."
open,local/review-os,102,"Required team already present",warning,Engineering,unassigned,.github/workflows,2026-03-12T14:03:07.691Z,2026-03-12T14:48:06.153Z,,4,0,infra,87,"No test file changes detected."
open,local/review-os,102,"Required team already present",warning,Security,unassigned,.github/workflows,2026-03-12T14:03:07.691Z,2026-03-12T14:48:06.153Z,,4,0,infra,87,"Sensitive domain changes detected (1 file(s))."
open,local/review-os,102,"Required team already present",critical,Security,unassigned,.github/workflows,2026-03-12T14:03:07.691Z,2026-03-12T14:48:06.153Z,,4,0,infra,87,"Sensitive changes detected without test updates."
cleared,local/review-os,102,"Required team already present",warning,Regression,unassigned,root,2026-03-12T14:03:07.691Z,2026-03-12T14:03:07.949Z,2026-03-12T14:03:07.949Z,1,0,infra,87,"Regression signature '0de88c3e46ef1c5f' has appeared 9 times (including this run)."
open,local/review-os,102,"Required team already present",warning,PolicyDrift,unassigned,root,2026-03-12T14:03:07.691Z,2026-03-12T14:48:06.153Z,,4,0,infra,87,"Adaptive thresholds drifted beyond ±8 on: product_warning(+15), security_warning(-15)."
cleared,local/review-os,101,"Missing required team case",warning,Engineering,unassigned,src/auth,2026-03-12T14:03:07.817Z,2026-03-12T14:48:06.043Z,2026-03-12T14:48:06.043Z,2,1,chore,77,"No test file changes detected."
cleared,local/review-os,101,"Missing required team case",warning,Design,unassigned,src/auth,2026-03-12T14:03:07.817Z,2026-03-12T14:48:06.043Z,2026-03-12T14:48:06.043Z,2,1,chore,77,"Frontend changes detected without UI evidence (screenshots/UX notes)."
cleared,local/review-os,101,"Missing required team case",warning,Security,unassigned,src/auth,2026-03-12T14:03:07.817Z,2026-03-12T14:48:06.043Z,2026-03-12T14:48:06.043Z,2,1,chore,77,"Sensitive domain changes detected (1 file(s))."
cleared,local/review-os,101,"Missing required team case",critical,Security,unassigned,src/auth,2026-03-12T14:03:07.817Z,2026-03-12T14:48:06.043Z,2026-03-12T14:48:06.043Z,2,1,chore,77,"Sensitive changes detected without test updates."
cleared,local/review-os,101,"Missing required team case",critical,PathPolicy,unassigned,src/auth,2026-03-12T14:03:07.817Z,2026-03-12T14:48:06.043Z,2026-03-12T14:48:06.043Z,2,1,chore,77,"Rule 'auth_paths': Auth tests required by policy."
cleared,local/review-os,101,"Missing required team case",warning,Regression,unassigned,root,2026-03-12T14:03:07.817Z,2026-03-12T14:48:06.043Z,2026-03-12T14:48:06.043Z,2,1,chore,77,"Regression signature 'e50586c82c85b237' has appeared 4 times (including this run)."
open,local/review-os,101,"Missing required team case",warning,Engineering,unassigned,src/payments,2026-03-12T14:03:07.877Z,2026-03-12T14:48:06.043Z,,2,1,chore,69,"No test file changes detected."
open,local/review-os,101,"Missing required team case",warning,Design,unassigned,src/payments,2026-03-12T14:03:07.877Z,2026-03-12T14:48:06.043Z,,2,1,chore,69,"Frontend changes detected without UI evidence (screenshots/UX notes)."
open,local/review-os,101,"Missing required team case",warning,Security,unassigned,src/payments,2026-03-12T14:03:07.877Z,2026-03-12T14:48:06.043Z,,2,1,chore,69,"Sensitive domain changes detected (1 file(s))."
open,local/review-os,101,"Missing required team case",critical,Security,unassigned,src/payments,2026-03-12T14:03:07.877Z,2026-03-12T14:48:06.043Z,,2,1,chore,69,"Sensitive changes detected without test updates."
open,local/review-os,101,"Missing required team case",warning,PathPolicy,unassigned,src/payments,2026-03-12T14:03:07.877Z,2026-03-12T14:48:06.043Z,,2,1,chore,69,"Rule 'payments' matched 1 file(s); penalties applied (eng:8, product:0, design:0, sec:12)."
open,local/review-os,101,"Missing required team case",critical,PathPolicy,unassigned,src/payments,2026-03-12T14:03:07.877Z,2026-03-12T14:48:06.043Z,,2,1,chore,69,"Rule 'payments': Payments changes must include tests."
open,local/review-os,101,"Missing required team case",warning,Regression,unassigned,root,2026-03-12T14:03:07.877Z,2026-03-12T14:48:06.043Z,,2,1,chore,69,"Regression signature '1b9a2adb321131e2' has appeared 4 times (including this run)."
open,local/review-os,101,"Missing required team case",warning,PolicyDrift,unassigned,root,2026-03-12T14:03:07.877Z,2026-03-12T14:48:06.043Z,,2,1,chore,69,"Adaptive thresholds drifted beyond ±8 on: product_warning(+13), security_warning(-21)."
cleared,local/review-os,102,"Required team already present",warning,Regression,unassigned,root,2026-03-12T14:03:07.949Z,2026-03-12T14:48:05.815Z,2026-03-12T14:48:05.815Z,1,0,infra,87,"Regression signature '0de88c3e46ef1c5f' has appeared 10 times (including this run)."
cleared,local/review-os,42,"Add auth middleware and update dashboard UI",warning,Regression,unassigned,root,2026-03-12T14:48:05.422Z,2026-03-12T14:48:05.503Z,2026-03-12T14:48:05.503Z,1,0,feature,82,"Regression signature '4292c0c504f8a8ea' has appeared 6 times (including this run)."
open,local/review-os,42,"Add auth middleware and update dashboard UI",warning,Regression,unassigned,root,2026-03-12T14:48:05.503Z,2026-03-12T14:48:05.503Z,,1,0,feature,64,"Regression signature '8922f4ab5c588df9' has appeared 6 times (including this run)."
open,local/review-os,100,"Author exemption case",warning,Regression,unassigned,root,2026-03-12T14:48:05.619Z,2026-03-12T14:48:05.619Z,,1,0,chore,82,"Regression signature '0bf06f63919f58be' has appeared 6 times (including this run)."
open,local/review-os,102,"Required team already present",warning,Regression,unassigned,root,2026-03-12T14:48:05.815Z,2026-03-12T14:48:06.153Z,,2,0,infra,87,"Regression signature '0de88c3e46ef1c5f' has appeared 11 times (including this run)."
